S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
1630,"1,217.65","1,230.96","1,215.62","1,230.71",13.06,1.07,"399,812,000.00",2018-09-12
1631,"1,210.88","1,224.60","1,210.88","1,217.65",6.77,0.56,"314,528,000.00",2018-09-11
1632,"1,218.98","1,220.25","1,206.88","1,210.88",-8.10,-0.66,"234,584,000.00",2018-09-10
1633,"1,229.77","1,230.37","1,217.33","1,218.98",-10.79,-0.88,"298,512,992.00",2018-09-09
1634,"1,234.15","1,247.35","1,224.25","1,229.77",-4.36,-0.35,"695,782,016.00",2018-09-06
1635,"1,210.24","1,243.61","1,210.30","1,234.13",23.89,1.97,"690,163,008.00",2018-09-05
1636,"1,206.26","1,214.20","1,202.68","1,210.24",3.98,0.33,"405,795,008.00",2018-09-04
1637,"1,190.28","1,213.86","1,190.27","1,206.26",15.98,1.34,"519,075,008.00",2018-09-03
1638,"1,181.69","1,191.93","1,178.59","1,190.28",8.59,0.73,"283,239,008.00",2018-09-02
1639,"1,172.30","1,181.69","1,170.69","1,181.69",9.39,0.80,"214,779,008.00",2018-08-30
1640,"1,177.09","1,177.79","1,171.00","1,172.30",-4.79,-0.41,"177,668,000.00",2018-08-29
1641,"1,175.72","1,177.09","1,172.78","1,177.09",1.37,0.12,"176,827,008.00",2018-08-28
1642,"1,178.50","1,178.67","1,175.50","1,175.72",-2.78,-0.24,"131,823,000.00",2018-08-26
1643,"1,182.42","1,183.13","1,175.35","1,178.50",-3.92,-0.33,"261,260,992.00",2018-08-23
1644,"1,183.89","1,185.34","1,180.26","1,182.42",-1.47,-0.12,"105,630,000.00",2018-08-22
1645,"1,188.08","1,188.27","1,181.98","1,183.89",-4.18,-0.35,"173,720,000.00",2018-08-21
1646,"1,196.29","1,196.84","1,185.82","1,188.07",-8.22,-0.69,"193,962,000.00",2018-08-20
1647,"1,210.32","1,210.75","1,195.70","1,196.29",-14.03,-1.16,"281,052,992.00",2018-08-19
1648,"1,209.71","1,218.71","1,203.14","1,210.32",0.61,0.05,"410,744,992.00",2018-08-16
1649,"1,180.98","1,210.09","1,180.99","1,209.71",28.73,2.43,"315,848,000.00",2018-08-15
1650,"1,174.37","1,181.39","1,170.09","1,180.98",6.61,0.56,"179,439,008.00",2018-08-14
1651,"1,163.94","1,174.62","1,161.96","1,174.37",10.43,0.90,"162,339,008.00",2018-08-13
1652,"1,180.63","1,181.58","1,163.41","1,163.94",-16.69,-1.41,"240,828,992.00",2018-08-12
1653,"1,187.32","1,189.23","1,179.25","1,180.63",-6.69,-0.56,"185,994,000.00",2018-08-09
1654,"1,188.21","1,190.30","1,186.09","1,187.32",-0.89,-0.08,"139,159,008.00",2018-08-08
1655,"1,189.67","1,192.06","1,186.26","1,188.21",-1.46,-0.12,"171,795,008.00",2018-08-07
1656,"1,189.88","1,192.97","1,188.05","1,189.67",-0.21,-0.02,"156,654,000.00",2018-08-06
1657,"1,191.31","1,192.53","1,188.44","1,189.88",-1.43,-0.12,"158,752,992.00",2018-08-05
1658,"1,193.87","1,195.94","1,191.13","1,191.31",-2.56,-0.21,"185,231,008.00",2018-08-02
1659,"1,191.47","1,194.61","1,190.04","1,193.87",2.40,0.20,"166,588,000.00",2018-08-01
1660,"1,194.38","1,196.56","1,189.77","1,191.47",-2.91,-0.24,"162,706,000.00",2018-07-31
1661,"1,194.82","1,198.56","1,193.17","1,194.38",-0.44,-0.04,"271,272,992.00",2018-07-30
1662,"1,191.20","1,196.79","1,191.20","1,194.82",3.62,0.30,"175,888,992.00",2018-07-29
1663,"1,194.35","1,197.00","1,188.15","1,191.20",-3.15,-0.26,"179,884,992.00",2018-07-26
1664,"1,194.50","1,200.00","1,192.26","1,194.35",-4.92,-0.41,"148,591,008.00",2018-07-25
1665,"1,194.50","1,213.15","1,194.09","1,199.27",4.77,0.40,"281,844,992.00",2018-07-24
1666,"1,181.66","1,194.90","1,181.40","1,194.50",12.84,1.09,"178,876,992.00",2018-07-23
1667,"1,193.39","1,194.00","1,181.12","1,181.66",-11.73,-0.98,"198,144,992.00",2018-07-22
1668,"1,198.77","1,199.54","1,192.78","1,193.39",-5.38,-0.45,"239,239,008.00",2018-07-19
1669,"1,204.31","1,205.15","1,196.21","1,198.77",-5.54,-0.46,"163,767,008.00",2018-07-18
1670,"1,212.36","1,214.85","1,202.85","1,204.31",-8.05,-0.66,"192,836,992.00",2018-07-17
1671,"1,200.09","1,212.36","1,197.06","1,212.36",12.27,1.02,"93,616,400.00",2018-07-16
1672,"1,191.98","1,200.31","1,192.00","1,200.09",8.11,0.68,"160,974,000.00",2018-07-15
1673,"1,205.64","1,210.60","1,190.09","1,191.98",-13.66,-1.13,"372,244,992.00",2018-07-12
1674,"1,205.93","1,221.75","1,204.29","1,205.64",-0.29,-0.02,"353,544,992.00",2018-07-11
1675,"1,206.43","1,214.45","1,202.79","1,205.93",-0.50,-0.04,"252,370,000.00",2018-07-10
1676,"1,224.39","1,226.09","1,204.95","1,206.43",-17.96,-1.47,"381,536,000.00",2018-07-09
1677,"1,224.41","1,240.93","1,224.37","1,224.39",-0.02,0.00,"453,251,008.00",2018-07-08
1678,"1,188.40","1,224.41","1,188.37","1,224.41",36.01,3.03,"445,847,008.00",2018-07-05
1679,"1,180.36","1,190.17","1,175.88","1,188.40",8.04,0.68,"226,062,000.00",2018-07-04
1680,"1,179.71","1,183.03","1,174.56","1,180.36",0.65,0.06,"180,480,000.00",2018-07-03
1681,"1,184.53","1,187.04","1,174.83","1,179.71",-4.82,-0.41,"196,692,992.00",2018-07-02
1682,"1,198.54","1,199.05","1,183.52","1,184.53",-14.01,-1.17,"187,736,992.00",2018-07-01
1683,"1,199.42","1,203.96","1,197.34","1,198.54",-0.88,-0.07,"219,600,992.00",2018-06-28
1684,"1,194.80","1,205.53","1,190.95","1,199.42",4.62,0.39,"159,571,008.00",2018-06-27
1685,"1,210.09","1,211.17","1,194.35","1,194.80",-15.29,-1.26,"208,990,000.00",2018-06-26
1686,"1,219.81","1,220.76","1,209.02","1,210.09",-9.72,-0.80,"178,132,000.00",2018-06-25
1687,"1,218.46","1,227.74","1,216.21","1,219.81",1.35,0.11,"173,104,992.00",2018-06-24
1688,"1,217.84","1,225.43","1,211.31","1,218.46",0.62,0.05,"170,062,000.00",2018-06-21
1689,"1,226.18","1,226.83","1,217.46","1,217.84",-8.34,-0.68,"242,912,992.00",2018-06-20
1690,"1,235.15","1,236.48","1,223.93","1,226.18",-8.97,-0.73,"189,708,992.00",2018-06-19
1691,"1,233.23","1,235.15","1,221.92","1,235.15",1.92,0.16,"188,058,000.00",2018-06-18
1692,"1,247.30","1,248.62","1,232.41","1,233.23",-14.07,-1.13,"226,919,008.00",2018-06-17
1693,"1,239.26","1,252.87","1,241.85","1,247.30",5.23,0.42,"269,468,000.00",2018-06-14
1694,"1,239.26","1,243.10","1,235.01","1,242.07",2.81,0.23,"189,940,992.00",2018-06-13
1695,"1,241.19","1,244.85","1,230.42","1,239.26",-1.93,-0.16,"271,081,984.00",2018-06-12
1696,"1,231.64","1,252.70","1,223.78","1,241.19",9.55,0.78,"371,065,984.00",2018-06-11
1697,"1,257.07","1,259.04","1,231.06","1,231.64",-25.43,-2.02,"427,745,984.00",2018-06-10
1698,"1,282.75","1,285.84","1,256.75","1,257.07",-25.68,-2.00,"413,830,016.00",2018-06-07
1699,"1,268.84","1,295.82","1,268.91","1,282.75",13.91,1.10,"189,312,992.00",2018-06-06
1700,"1,273.95","1,281.98","1,258.58","1,268.84",-5.11,-0.40,"403,524,992.00",2018-06-04
1701,"1,307.66","1,307.63","1,273.02","1,273.95",-33.71,-2.58,"496,812,000.00",2018-06-03
1702,"1,327.21","1,323.11","1,305.61","1,307.66",-14.61,-1.10,"327,692,000.00",2018-05-31
1703,"1,327.21","1,341.71","1,318.24","1,322.27",-4.94,-0.37,"428,747,008.00",2018-05-30
1704,"1,336.39","1,340.60","1,322.34","1,327.21",-9.18,-0.69,"407,628,992.00",2018-05-29
1705,"1,300.41","1,336.71","1,291.34","1,336.39",35.98,2.77,"397,385,984.00",2018-05-28
1706,"1,318.22","1,318.30","1,300.13","1,300.41",-17.81,-1.35,"368,198,016.00",2018-05-27
1707,"1,328.27","1,331.02","1,317.34","1,318.22",-10.05,-0.76,"364,064,992.00",2018-05-24
1708,"1,332.82","1,333.05","1,326.28","1,328.27",-4.55,-0.34,"290,099,008.00",2018-05-23
1709,"1,337.15","1,338.29","1,331.81","1,332.82",-4.31,-0.32,"310,732,992.00",2018-05-22
1710,"1,339.19","1,340.72","1,332.27","1,337.13",-2.06,-0.15,"300,710,016.00",2018-05-21
1711,"1,339.65","1,356.94","1,335.94","1,339.19",-0.46,-0.03,"322,665,984.00",2018-05-20
1712,"1,338.01","1,348.12","1,337.65","1,339.65",1.64,0.12,"276,532,000.00",2018-05-17
1713,"1,333.85","1,338.45","1,333.54","1,338.01",4.16,0.31,"213,126,000.00",2018-05-16
1714,"1,338.17","1,341.18","1,332.41","1,333.85",-4.32,-0.32,"136,671,008.00",2018-05-15
1715,"1,348.45","1,350.14","1,337.44","1,338.17",-10.28,-0.76,"395,136,992.00",2018-05-14
1716,"1,356.15","1,356.93","1,348.45","1,348.45",-7.70,-0.57,"332,507,008.00",2018-05-10
1717,"1,361.02","1,365.62","1,352.67","1,356.15",-4.87,-0.36,"331,771,008.00",2018-05-09
1718,"1,345.37","1,361.02","1,344.32","1,361.02",15.65,1.16,"476,043,008.00",2018-05-08
1719,"1,353.64","1,353.79","1,344.00","1,345.37",-8.27,-0.61,"406,921,984.00",2018-05-07
1720,"1,366.15","1,366.67","1,353.40","1,353.64",-12.51,-0.92,"345,672,992.00",2018-05-06
1721,"1,360.38","1,376.68","1,360.41","1,366.15",5.77,0.42,"710,668,992.00",2018-05-03
1722,"1,349.01","1,360.87","1,335.39","1,360.38",11.37,0.84,"362,500,000.00",2018-05-02
1723,"1,357.22","1,362.66","1,337.93","1,349.01",-8.21,-0.60,"378,035,008.00",2018-04-29
1724,"1,386.47","1,392.63","1,354.19","1,357.22",-29.25,-2.11,"567,923,968.00",2018-04-26
1725,"1,394.86","1,399.46","1,384.59","1,386.47",-8.39,-0.60,"529,377,984.00",2018-04-25
1726,"1,410.85","1,413.99","1,391.19","1,394.86",-15.99,-1.13,"688,872,000.00",2018-04-24
1727,"1,438.49","1,461.21","1,398.41","1,410.85",-27.64,-1.92,"1,457,789,952.00",2018-04-23
1728,"1,388.31","1,438.57","1,388.66","1,438.49",50.18,3.61,"1,154,540,032.00",2018-04-22
1729,"1,363.01","1,391.74","1,361.18","1,388.31",25.30,1.86,"1,044,529,984.00",2018-04-19
1730,"1,331.18","1,392.16","1,327.78","1,363.01",31.83,2.39,"1,064,979,968.00",2018-04-18
1731,"1,297.57","1,334.45","1,297.58","1,331.18",33.61,2.59,"916,345,984.00",2018-04-17
1732,"1,280.15","1,302.10","1,277.01","1,297.57",17.42,1.36,"560,924,992.00",2018-04-16
1733,"1,277.55","1,280.90","1,259.21","1,280.15",2.60,0.20,"292,868,992.00",2018-04-15
1734,"1,273.33","1,285.54","1,273.37","1,277.55",4.22,0.33,"404,896,992.00",2018-04-12
1735,"1,270.23","1,273.35","1,257.92","1,273.33",3.10,0.24,"250,412,000.00",2018-04-11
1736,"1,287.78","1,292.00","1,266.85","1,270.23",-17.55,-1.36,"333,681,984.00",2018-04-10
1737,"1,294.65","1,316.60","1,286.76","1,287.78",-6.87,-0.53,"796,424,000.00",2018-04-09
1738,"1,250.39","1,303.30","1,250.19","1,294.65",44.26,3.54,"885,886,976.00",2018-04-08
1739,"1,226.45","1,250.49","1,226.45","1,250.39",23.94,1.95,"605,590,976.00",2018-04-05
1740,"1,199.00","1,227.97","1,199.06","1,226.45",27.45,2.29,"318,393,984.00",2018-04-04
1741,"1,192.96","1,200.35","1,188.51","1,199.00",6.04,0.51,"213,594,000.00",2018-04-03
1742,"1,196.24","1,199.78","1,191.24","1,192.96",-3.28,-0.27,"184,803,008.00",2018-04-02
1743,"1,204.81","1,222.63","1,185.51","1,196.24",-24.05,-1.97,"293,590,016.00",2018-04-01
1744,"1,204.81","1,222.58","1,204.69","1,220.29",15.48,1.28,"321,771,008.00",2018-03-29
1745,"1,207.71","1,222.95","1,187.04","1,204.81",-2.90,-0.24,"493,057,984.00",2018-03-28
1746,"1,168.55","1,217.39","1,134.92","1,207.71",39.16,3.35,"468,104,000.00",2018-03-27
1747,"1,220.44","1,220.44","1,166.01","1,168.55",-51.89,-4.25,"453,727,008.00",2018-03-26
1748,"1,231.07","1,238.61","1,207.56","1,220.44",-10.63,-0.86,"431,647,008.00",2018-03-22
1749,"1,255.47","1,257.52","1,224.39","1,231.07",-24.40,-1.94,"360,376,992.00",2018-03-21
1750,"1,270.52","1,271.13","1,249.60","1,255.47",-15.05,-1.18,"302,363,008.00",2018-03-20
1751,"1,278.96","1,281.34","1,269.25","1,270.52",-8.44,-0.66,"256,922,000.00",2018-03-19
1752,"1,288.36","1,292.72","1,277.53","1,278.96",-9.40,-0.73,"266,955,008.00",2018-03-18
1753,"1,285.96","1,298.68","1,284.75","1,288.36",2.40,0.19,"221,290,000.00",2018-03-15
1754,"1,281.90","1,285.96","1,279.28","1,285.96",4.06,0.32,"168,392,000.00",2018-03-14
1755,"1,277.01","1,281.90","1,276.68","1,281.90",4.89,0.38,"226,427,008.00",2018-03-13
1756,"1,284.09","1,289.52","1,273.03","1,277.01",-7.08,-0.55,"297,712,992.00",2018-03-12
1757,"1,315.13","1,315.51","1,283.85","1,284.09",-31.04,-2.36,"303,252,992.00",2018-03-11
1758,"1,296.44","1,315.13","1,295.83","1,315.13",18.69,1.44,"422,131,008.00",2018-03-07
1759,"1,287.74","1,306.10","1,267.23","1,296.44",8.70,0.68,"430,979,008.00",2018-03-06
1760,"1,304.43","1,319.54","1,286.19","1,287.74",-16.69,-1.28,"371,527,008.00",2018-03-05
1761,"1,345.99","1,345.79","1,291.42","1,304.43",-41.56,-3.09,"440,904,000.00",2018-03-04
1762,"1,364.81","1,364.96","1,343.80","1,345.99",-18.82,-1.38,"491,740,992.00",2018-02-28
1763,"1,358.95","1,377.62","1,358.69","1,364.81",5.86,0.43,"437,884,992.00",2018-02-27
1764,"1,374.73","1,379.78","1,356.64","1,358.95",-15.78,-1.15,"446,529,984.00",2018-02-26
1765,"1,386.98","1,389.31","1,374.08","1,374.73",-12.25,-0.88,"252,644,000.00",2018-02-25
1766,"1,387.08","1,395.40","1,382.04","1,386.98",-0.10,-0.01,"330,896,992.00",2018-02-22
1767,"1,396.72","1,397.66","1,386.00","1,387.08",-9.64,-0.69,"244,471,008.00",2018-02-21
1768,"1,413.90","1,424.38","1,396.59","1,396.72",-17.18,-1.22,"310,777,984.00",2018-02-20
1769,"1,424.95","1,444.94","1,413.07","1,413.90",-11.05,-0.78,"567,721,984.00",2018-02-18
1770,"1,388.94","1,426.56","1,388.94","1,424.95",36.01,2.59,"628,467,008.00",2018-02-15
1771,"1,380.29","1,389.04","1,376.18","1,388.94",8.65,0.63,"277,982,016.00",2018-02-14
1772,"1,384.71","1,385.87","1,378.64","1,380.29",-4.42,-0.32,"218,002,000.00",2018-02-12
1773,"1,391.03","1,394.37","1,383.95","1,384.71",-6.32,-0.45,"194,698,000.00",2018-02-11
1774,"1,382.02","1,391.12","1,378.58","1,391.03",9.01,0.65,"256,940,000.00",2018-02-08
1775,"1,394.03","1,395.25","1,380.99","1,382.02",-12.01,-0.86,"255,580,000.00",2018-02-07
1776,"1,400.05","1,401.58","1,393.16","1,394.03",-6.02,-0.43,"222,879,008.00",2018-02-06
1777,"1,404.49","1,413.14","1,399.20","1,400.05",-10.46,-0.74,"287,900,992.00",2018-02-05
1778,"1,404.49","1,418.21","1,409.62","1,410.51",-1.01,-0.07,"440,143,008.00",2018-02-04
1779,"1,404.49","1,415.18","1,403.15","1,411.52",7.03,0.50,"396,398,016.00",2018-02-01
1780,"1,402.23","1,405.99","1,399.67","1,404.49",2.26,0.16,"291,264,000.00",2018-01-31
1781,"1,405.95","1,407.86","1,397.73","1,402.23",-3.72,-0.26,"261,374,000.00",2018-01-29
1782,"1,404.53","1,411.68","1,403.46","1,405.95",1.42,0.10,"341,291,008.00",2018-01-28
